バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,702,MER9RY,山口県,864,FAL,山口県,1110,SYOBOY,山口県,0,,-
1st&substream,RUGGED ASH,0,,-,344,MER9RY,山口県,378,MATA-Z,山口県,1064,CPU-Z*,山口県,1970,TOUYA,山口県
1st&substream,R3,0,,-,560,MER9RY,山口県,654,MER9RY,山口県,876,SYOBOY,山口県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,530,MER9RY,山口県,701,AAA,山口県,1074,SYOBOY,山口県,0,,-
1st&substream,Macho Gang,0,,-,364,CFKWSK,山口県,975,796*,山口県,1533,CPU-Z*,山口県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,CPU-Z*,山口県,236,SYOBOY,山口県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,778,MER9RY,山口県,896,FAL,山口県,1141,SYOBOY,山口県,0,,-
1st&substream,gentle stress,0,,-,329,MER9RY,山口県,615,FAL,山口県,1360,UFFF.P,山口県,0,,-
1st&substream,GENOM SCREAMS,0,,-,377,MER9RY,山口県,716,MATA-Z,山口県,1036,SYOBOY,山口県,0,,-
1st&substream,GAMBOL,0,,-,258,RAY.C.,山口県,270,CPU-Z*,山口県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,355,MER9RY,山口県,446,TIGER,山口県,570,SYOBOY,山口県,0,,-
1st&substream,deep in you,0,,-,431,MER9RY,山口県,483,AZM!,山口県,642,CPU-Z*,山口県,0,,-
1st&substream,5.1.1.,0,,-,173,MER9RY,山口県,963,38KEN,山口県,1545,SQUID,山口県,0,,-
1st&substream,22DUNK,0,,-,462,MER9RY,山口県,576,FAL,山口県,635,SYOBOY,山口県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,482,MER9RY,山口県,590,MATA-Z,山口県,636,SYOBOY,山口県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,515,MER9RY,山口県,835,SYOBOY,山口県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,786,MER9RY,山口県,913,TIGER,山口県,1193,SYOBOY,山口県,0,,-
2nd style,I Was The One,0,,-,512,JUNCHI,山口県,517,NT,山口県,673,SYOBOY,山口県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,713,MER9RY,山口県,795,TIGER,山口県,1055,TOUYA,山口県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,687,MER9RY,山口県,898,TIGER,山口県,1103,SYOBOY,山口県,0,,-
