バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,617,IIDX26,佐賀県,953,OI-TAN,佐賀県,1126,SAGE.M,佐賀県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1884,SAGE.N,佐賀県
1st&substream,RUGGED ASH,217,SH!N,佐賀県,250,CCO,佐賀県,1024,CL,佐賀県
1st&substream,R3,336,PONSK,佐賀県,700,AMT*25,佐賀県,872,SAGE.M,佐賀県
1st&substream,PARANOIA MAX～DIRTY MIX～,348,B,佐賀県,448,CCO,佐賀県,1047,RA,佐賀県
1st&substream,Macho Gang,211,SH!N,佐賀県,989,OI-TAN,佐賀県,1508,ADA.W,佐賀県
1st&substream,KEEP ON MOVIN',190,OI-TAN,佐賀県,234,EV.324,佐賀県,0,,未設定
1st&substream,GRADIUSIC CYBER,464,PONSK,佐賀県,563,CCO,佐賀県,1113,OI-TAN,佐賀県
1st&substream,GENOM SCREAMS,231,KORONA,佐賀県,778,OI-TAN,佐賀県,1003,AMT*25,佐賀県
1st&substream,GAMBOL,274,OI-TAN,佐賀県,265,SATUKI,佐賀県,0,,未設定
1st&substream,Dr.LOVE,377,GAMMA#,佐賀県,504,EV.324,佐賀県,551,AMT*25,佐賀県
1st&substream,deep in you,483,OI-TAN,佐賀県,359,CCO,佐賀県,644,OI-TAN,佐賀県
1st&substream,5.1.1.,195,EV.324,佐賀県,932,HAL,佐賀県,1539,EV.324,佐賀県
1st&substream,22DUNK,211,KORONA,佐賀県,431,CCO,佐賀県,609,AMT*25,佐賀県
2nd style,SP-TRIP MACHINE(for beatmania II),0,,未設定,473,CCO,佐賀県,620,7Q,佐賀県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,未設定,812,OI-TAN,佐賀県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),687,M*L,佐賀県,770,CCO,佐賀県,1113,MO84PW,佐賀県
2nd style,I Was The One,525,OI-TAN,佐賀県,623,G.Y-R,佐賀県,670,AUD*25,佐賀県
2nd style,Electro Tuned(the SubS mix),647,M*L,佐賀県,611,CCO,佐賀県,1004,AMT*25,佐賀県
2nd style,Digital MinD(A/T Libra mix),593,M*L,佐賀県,856,97....,佐賀県,1038,AMT*25,佐賀県
2nd style,.59,426,MINA,佐賀県,954,OI-TAN,佐賀県,1062,AMT*25,佐賀県
3rd style,THE SAFARI,1069,MT,佐賀県,1677,ZAP.,佐賀県,0,,未設定
3rd style,Tangerine Stream,280,OI-TAN,佐賀県,378,AMT*25,佐賀県,0,,未設定
3rd style,Skyscraper,0,,未設定,853,CCO,佐賀県,1165,OI-TAN,佐賀県
3rd style,Schlagwerk,362,KORONA,佐賀県,1249,OI-TAN,佐賀県,1581,RABBY,佐賀県
3rd style,REINCARNATION,0,,未設定,920,R.S-10,佐賀県,1198,AMT*25,佐賀県
3rd style,R5,0,,未設定,1158,AUD*25,佐賀県,1720,AUD*25,佐賀県
3rd style,Presto,0,,未設定,923,7Q,佐賀県,982,SAGE.M,佐賀県
3rd style,LEADING CYBER,310,KORONA,佐賀県,773,CCO,佐賀県,1204,CL,佐賀県
3rd style,Holic,441,AYA.,佐賀県,887,K.017,佐賀県,1640,SAGE.M,佐賀県
3rd style,era (nostalmix),722,KEI,佐賀県,1053,SAGE.N,佐賀県,1385,AMT*25,佐賀県
3rd style,Don't Stop!,695,G-SELF,佐賀県,500,CCO,佐賀県,868,RABBY,佐賀県
3rd style,CAN'T STOP FALLIN'IN LOVE,598,MAFIOS,佐賀県,1162,AMT*25,佐賀県,0,,未設定
4th style,Voltage (feat. Hidemaru),0,,未設定,1093,HAL,佐賀県,1228,SHO,佐賀県
4th style,ULTRA HIGH-HEELS,0,,未設定,699,CCO,佐賀県,933,AMT*25,佐賀県
4th style,SWEET LAB,356,JACK.#,佐賀県,922,OI-TAN,佐賀県,1219,SAGE.M,佐賀県
4th style,starmine,596,WIZU,佐賀県,1306,EV.324,佐賀県,1485,AMT*25,佐賀県
4th style,Mr.T.(take me higher),831,OI-TAN,佐賀県,984,OI-TAN,佐賀県,1623,ECO.G,佐賀県
4th style,minimalian,0,,未設定,999,OI-TAN,佐賀県,1316,SAGE.N,佐賀県
