バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,728,MARISA,埼玉県,1033,6MURT!,埼玉県,1148,SHID0U,埼玉県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2011,LOBMAG,埼玉県
1st&substream,RUGGED ASH,364,SYOW,埼玉県,396,YU-*!,埼玉県,1094,K.F,埼玉県
1st&substream,R3,625,AAA,埼玉県,732,IIDXXX,埼玉県,899,ROUGAI,埼玉県
1st&substream,PARANOIA MAX～DIRTY MIX～,530,AL.,埼玉県,722,JOLMIN,埼玉県,1106,ROUGAI,埼玉県
1st&substream,Macho Gang,373,AZARA4,埼玉県,998,JOLMIN,埼玉県,1611,ROUGAI,埼玉県
1st&substream,KEEP ON MOVIN',190,KM*,埼玉県,244,ROUGAI,埼玉県,0,,未設定
1st&substream,GRADIUSIC CYBER,832,K456,埼玉県,934,SUGA.G,埼玉県,1202,SERENA,埼玉県
1st&substream,GENOM SCREAMS,397,JOLMIN,埼玉県,778,JOLMIN,埼玉県,1066,MIKU.N,埼玉県
1st&substream,GAMBOL,274,IIDXXX,埼玉県,274,IIDXXX,埼玉県,0,,未設定
1st&substream,Dr.LOVE,397,FAG.,埼玉県,501,JOLMIN,埼玉県,576,IIDXXX,埼玉県
1st&substream,deep in you,474,JOLMIN,埼玉県,477,JOLMIN,埼玉県,663,SHID0U,埼玉県
1st&substream,5.1.1.,195,AIRSUN,埼玉県,1005,KUDOHI,埼玉県,1565,1-PIN,埼玉県
1st&substream,22DUNK,509,DEZIST,埼玉県,613,SUGA.G,埼玉県,654,87PECO,埼玉県
2nd style,SP-TRIP MACHINE(for beatmania II),497,00D,埼玉県,616,39RAGI,埼玉県,646,IIDXXX,埼玉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),550,BENK,埼玉県,858,IIDXXX,埼玉県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),855,EZ2AC,埼玉県,1073,JOLMIN,埼玉県,1225,SHID0U,埼玉県
2nd style,I Was The One,537,AIRSUN,埼玉県,639,JOLMIN,埼玉県,691,MIKU.N,埼玉県
2nd style,Electro Tuned(the SubS mix),744,JOLMIN,埼玉県,872,JOLMIN,埼玉県,1066,CHERRY,埼玉県
2nd style,Digital MinD(A/T Libra mix),727,EZ2AC,埼玉県,982,K-TRUE,埼玉県,1127,.LA,埼玉県
2nd style,.59,684,DEZIST,埼玉県,985,NOTCH,埼玉県,1147,SERENA,埼玉県
3rd style,THE SAFARI,1168,JOLMIN,埼玉県,1760,CHERRY,埼玉県,0,,未設定
3rd style,Tangerine Stream,275,JOLMIN,埼玉県,388,★,埼玉県,0,,未設定
3rd style,Skyscraper,701,JOLMIN,埼玉県,1140,JOLMIN,埼玉県,1250,SERENA,埼玉県
3rd style,Schlagwerk,801,BENK,埼玉県,1252,SUGA.G,埼玉県,1687,1-PIN,埼玉県
3rd style,REINCARNATION,812,BENK,埼玉県,962,A96BAT,埼玉県,1271,SERENA,埼玉県
3rd style,R5,770,ROUGAI,埼玉県,1154,IIPIN,埼玉県,1759,SETZ,埼玉県
