バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,740,AAEZ,兵庫県,1025,NASUNO,兵庫県,1154,YYY,兵庫県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1986,YYY,兵庫県
1st&substream,RUGGED ASH,358,LAT,兵庫県,395,MOCHI,兵庫県,1094,KS-TAK,兵庫県
1st&substream,R3,573,EAGLE,兵庫県,712,COS,兵庫県,898,YYY,兵庫県
1st&substream,PARANOIA MAX～DIRTY MIX～,506,MAMURU,兵庫県,692,FATE*T,兵庫県,1100,YYY,兵庫県
1st&substream,Macho Gang,375,M.F.K,兵庫県,1041,YORIKO,兵庫県,1620,YYY,兵庫県
1st&substream,KEEP ON MOVIN',195,YYY,兵庫県,244,R.K.,兵庫県,0,,未設定
1st&substream,GRADIUSIC CYBER,841,PERU4A,兵庫県,873,KOH*ZD,兵庫県,1187,YYY,兵庫県
1st&substream,GENOM SCREAMS,357,M-Y!,兵庫県,792,YORIKO,兵庫県,1061,YYY,兵庫県
1st&substream,GAMBOL,270,LAT,兵庫県,274,YYY,兵庫県,0,,未設定
1st&substream,Dr.LOVE,386,KOH*ZD,兵庫県,499,KOTO,兵庫県,577,R.K.,兵庫県
1st&substream,deep in you,411,M-Y!,兵庫県,475,M1-ON,兵庫県,656,YYY,兵庫県
1st&substream,5.1.1.,195,NASUNO,兵庫県,972,Y04N0N,兵庫県,1555,3.,兵庫県
1st&substream,22DUNK,451,EH200,兵庫県,635,R.K.,兵庫県,650,KS-TAK,兵庫県
2nd style,SP-TRIP MACHINE(for beatmania II),491,LAT,兵庫県,592,MAKEY,兵庫県,641,YYY,兵庫県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),540,LAT,兵庫県,845,AAAAAA,兵庫県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),856,NASUNO,兵庫県,1032,K.KRAM,兵庫県,1211,YYY,兵庫県
2nd style,I Was The One,534,NUFAN,兵庫県,576,ACE,兵庫県,688,KS-TAK,兵庫県
2nd style,Electro Tuned(the SubS mix),686,V.B.,兵庫県,877,LIBRA.,兵庫県,1062,YYY,兵庫県
2nd style,Digital MinD(A/T Libra mix),667,RN023,兵庫県,987,FATE*T,兵庫県,1126,AAAAAA,兵庫県
2nd style,.59,698,YAGAMI,兵庫県,987,R.K.,兵庫県,1142,YYY,兵庫県
3rd style,THE SAFARI,1137,KOH*ZD,兵庫県,1765,YYY,兵庫県,0,,未設定
3rd style,Tangerine Stream,278,COS,兵庫県,396,R.K.,兵庫県,0,,未設定
3rd style,Skyscraper,670,JUNE*P,兵庫県,1139,FATE*T,兵庫県,1223,R.K.,兵庫県
3rd style,Schlagwerk,790,KOH*ZD,兵庫県,1299,R.K.,兵庫県,1672,3.,兵庫県
3rd style,REINCARNATION,783,LIBRA.,兵庫県,1003,NASUNO,兵庫県,1266,YYY,兵庫県
3rd style,R5,755,SPWEEK,兵庫県,1145,BEX,兵庫県,1753,YYY,兵庫県
3rd style,Presto,501,KINO,兵庫県,927,NASUNO,兵庫県,1004,AAAAAA,兵庫県
3rd style,LEADING CYBER,775,JUNE*P,兵庫県,1162,SUNA,兵庫県,1249,YYY,兵庫県
3rd style,Holic,758,SY0G0,兵庫県,1154,BEX,兵庫県,1690,3.,兵庫県
3rd style,era (nostalmix),822,TAJIKO,兵庫県,1071,KS-TAK,兵庫県,1504,YYY,兵庫県
3rd style,Don't Stop!,712,M-Y!,兵庫県,818,KOH*ZD,兵庫県,900,YYY,兵庫県
3rd style,CAN'T STOP FALLIN'IN LOVE,562,M-Y!,兵庫県,1239,YYY,兵庫県,0,,未設定
4th style,Voltage (feat. Hidemaru),811,M-Y!,兵庫県,1157,YORIKO,兵庫県,1315,AAAAAA,兵庫県
4th style,ULTRA HIGH-HEELS,697,EAGLE,兵庫県,885,Y04N0N,兵庫県,983,YYY,兵庫県
4th style,SWEET LAB,488,JIRO,兵庫県,909,TEL,兵庫県,1306,BONO*2,兵庫県
4th style,starmine,828,KOH*ZD,兵庫県,1376,T4NY40,兵庫県,1555,NASUNO,兵庫県
4th style,Mr.T.(take me higher),755,M-Y!,兵庫県,960,FATE*T,兵庫県,1751,R.K.,兵庫県
4th style,minimalian,506,LAT,兵庫県,989,MAXYWV,兵庫県,1390,3.,兵庫県
4th style,LOVE WILL・・・,490,M-Y!,兵庫県,695,Y04N0N,兵庫県,1462,YYY,兵庫県
4th style,KAMIKAZE,937,1045IN,兵庫県,1362,YORIKO,兵庫県,2235,R.K.,兵庫県
4th style,Jam&Marmalade,759,NASUNO,兵庫県,842,OHP,兵庫県,988,YYY,兵庫県
4th style,Hitch Hiker2,729,MIGU,兵庫県,1126,YORIKO,兵庫県,1313,YYY,兵庫県
4th style,HIGHER,465,M-Y!,兵庫県,909,104BB,兵庫県,1270,NUFAN,兵庫県
4th style,FLOWERS for ALBION,220,TEL,兵庫県,439,AAAAAA,兵庫県,0,,未設定
4th style,era (step mix),1074,LAT,兵庫県,1317,SPWEEK,兵庫県,1681,YYY,兵庫県
4th style,empathy,794,MC,兵庫県,1297,PERU4A,兵庫県,1433,M.F.K,兵庫県
4th style,DXY!,1038,EAGLE,兵庫県,1826,NUFAN,兵庫県,2234,YYY,兵庫県
4th style,Clione†,0,,未設定,0,,未設定,2119,398-*,兵庫県
4th style,Clione,501,SY0G0,兵庫県,919,NASUNO,兵庫県,1609,YYY,兵庫県
4th style,CHECKING YOU OUT,635,NUFAN,兵庫県,881,YYY,兵庫県,1305,R.K.,兵庫県
4th style,Burnin' The Floor,567,KOTO,兵庫県,885,AAEZ,兵庫県,1427,KS-TAK,兵庫県
4th style,Broken My Heart,639,KUMON,兵庫県,1440,NASUNO,兵庫県,1768,YYY,兵庫県
4th style,B4U,944,PLAGUE,兵庫県,1531,NUFAN,兵庫県,1991,YYY,兵庫県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2692,398-*,兵庫県
4th style,ABSOLUTE,1190,SOPHIE,兵庫県,1751,LCHE-Y,兵庫県,2324,3.,兵庫県
4th style,250bpm,631,1045IN,兵庫県,923,ON.UZO,兵庫県,1371,R.K.,兵庫県
5th style,V,1286,M.F.K,兵庫県,2466,NUFAN,兵庫県,3024,YYY,兵庫県
5th style,THE SHINING POLARIS,887,LAT,兵庫県,1238,SPWEEK,兵庫県,1564,R.K.,兵庫県
5th style,THE CUBE,717,BOSS,兵庫県,1202,J-SAN,兵庫県,1357,YYY,兵庫県
5th style,sync,1060,NASUNO,兵庫県,1920,NASUNO,兵庫県,2316,TIKI*,兵庫県
5th style,still my words,811,MO-FU,兵庫県,1214,NUFAN,兵庫県,0,,未設定
5th style,STILL IN MY HEART,923,LAT,兵庫県,1355,YYY,兵庫県,1922,IIDX26,兵庫県
5th style,Spin the disc,763,IORI.,兵庫県,1214,AZ&SYK,兵庫県,1321,KS-TAK,兵庫県
5th style,RISLIM,846,KOH*ZD,兵庫県,1221,BONO*2,兵庫県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1817,YYY,兵庫県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),860,LOIT,兵庫県,1034,SPWEEK,兵庫県,1690,NUFAN,兵庫県
5th style,Regulus,847,EH200,兵庫県,1449,ON.UZO,兵庫県,1667,AAAAAA,兵庫県
5th style,Real,1057,TAMACO,兵庫県,1626,FHLPOP,兵庫県,1771,R.K.,兵庫県
5th style,Radical Faith,1131,DEN-G,兵庫県,1461,TIKI*,兵庫県,1287,R.K.,兵庫県
5th style,QQQ,1090,M-Y!,兵庫県,1847,NASUNO,兵庫県,2119,BONO*2,兵庫県
5th style,outer wall,637,AGUNI,兵庫県,1291,YORIKO,兵庫県,1758,YYY,兵庫県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,687,M-Y!,兵庫県,948,Y04N0N,兵庫県,1111,NUFAN,兵庫県
5th style,in my eyes,860,FAILED,兵庫県,1352,Y04N0N,兵庫県,1566,YYY,兵庫県
5th style,Abyss,1210,MADO,兵庫県,1601,NASUNO,兵庫県,1876,YYY,兵庫県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),998,LAT,兵庫県,1560,BONO*2,兵庫県,0,,未設定
6th style,こっちを向いてよ,0,,未設定,1182,Y04N0N,兵庫県,1339,AAAAAA,兵庫県
6th style,Take It Easy,1368,SHERRY,兵庫県,2295,BEX,兵庫県,2488,398-*,兵庫県
6th style,Summer Vacation(CU mix),1208,SY0G0,兵庫県,1817,YYY,兵庫県,0,,未設定
6th style,SOMETHING WONDERFUL,817,CHAR,兵庫県,1327,NUFAN,兵庫県,1934,11039,兵庫県
6th style,route 80s,870,S2CA,兵庫県,1091,YORIKO,兵庫県,1493,NUFAN,兵庫県
6th style,rottel-da-sun,773,SY0G0,兵庫県,1261,MOCHI,兵庫県,1813,NASUNO,兵庫県
6th style,NEMESIS,880,13333,兵庫県,1476,ON.UZO,兵庫県,1857,YYY,兵庫県
6th style,Linus,894,BOSS,兵庫県,1496,SY0G0,兵庫県,2167,YYY,兵庫県
6th style,G2,1343,SPWEEK,兵庫県,1732,YORIKO,兵庫県,2296,YYY,兵庫県
6th style,Frozen Ray (original mix),1155,EAGLE,兵庫県,1690,PRN*S,兵庫県,1767,AAAAAA,兵庫県
6th style,Free Style,791,M-Y!,兵庫県,1108,R.K.,兵庫県,1296,398-*,兵庫県
6th style,fly through the night,788,13333,兵庫県,1031,TRPNPN,兵庫県,1665,YYY,兵庫県
6th style,DIVE ～INTO YOUR HEART～,1220,BOSS,兵庫県,1815,NASUNO,兵庫県,2086,YYY,兵庫県
6th style,Colors (radio edit),1181,SKAL,兵庫県,1873,*2106*,兵庫県,2387,YYY,兵庫県
6th style,Buffalo,954,PECCO,兵庫県,1366,FATE*T,兵庫県,1790,BONO*2,兵庫県
6th style,Blueberry Stream,683,M-Y!,兵庫県,1356,SY0G0,兵庫県,1627,R.K.,兵庫県
6th style,BALLAD FOR YOU～想いの雨～,551,LAT,兵庫県,739,ND,兵庫県,1063,PERU4A,兵庫県
6th style,"19,November",786,DAICHI,兵庫県,1385,SPWEEK,兵庫県,1771,FHLPOP,兵庫県
7th style,革命,663,EH200,兵庫県,1942,RAIHA,兵庫県,2271,3.,兵庫県
7th style,ZERO-ONE,896,AAAAAA,兵庫県,1534,YORIKO,兵庫県,2189,R.K.,兵庫県
7th style,traces,1394,FESTI*,兵庫県,1796,ON.UZO,兵庫県,2092,NUFAN,兵庫県
7th style,Tomorrow Perfume,1242,FATE*T,兵庫県,1834,OH!SAY,兵庫県,2081,R.K.,兵庫県
7th style,stoic,1634,LCHE-Y,兵庫県,2237,SUNA,兵庫県,2545,YYY,兵庫県
7th style,Spica,627,SPWEEK,兵庫県,1403,ON.UZO,兵庫県,2184,YYY,兵庫県
7th style,MAX 300,1106,KS-TAK,兵庫県,1940,YYY,兵庫県,0,,未設定
7th style,Love Me Do,1061,FESTI*,兵庫県,1652,NASUNO,兵庫県,2093,3.,兵庫県
7th style,Let the Snow Paint Me,771,KOH*ZD,兵庫県,1020,Y04N0N,兵庫県,1229,NUFAN,兵庫県
7th style,Last Message,942,1045IN,兵庫県,1296,NUFAN,兵庫県,1587,YYY,兵庫県
7th style,Happy Wedding,1172,MOCHI,兵庫県,1616,NASUNO,兵庫県,1812,BONO*2,兵庫県
7th style,Glorious Days,461,V.B.,兵庫県,759,FATE*T,兵庫県,896,FHLPOP,兵庫県
7th style,foreplay,551,M-Y!,兵庫県,1150,BONVAX,兵庫県,1330,YYY,兵庫県
7th style,DESTINY,970,13333,兵庫県,1300,Y04N0N,兵庫県,1825,YYY,兵庫県
7th style,D2R,905,KURUSU,兵庫県,1241,NUFAN,兵庫県,1628,YYY,兵庫県
7th style,Cheer Train,827,M-Y!,兵庫県,1180,GUMI,兵庫県,1722,YYY,兵庫県
7th style,Burning Heat! (Full Option Mix),618,M-Y!,兵庫県,877,FATE*T,兵庫県,1461,YYY,兵庫県
7th style,Bad Routine,946,LAT,兵庫県,1271,ON.UZO,兵庫県,1895,R.K.,兵庫県
7th style,AVE DE RAPINA,1194,KOTO,兵庫県,1698,AAAAAA,兵庫県,1819,KS-TAK,兵庫県
7th style,A,1148,WONDER,兵庫県,2016,TAMACO,兵庫県,2412,3.,兵庫県
8th style,蒼い衝動,857,HIZRO*,兵庫県,1266,YKR.ON,兵庫県,1593,YYY,兵庫県
8th style,桜,927,SY0G0,兵庫県,1548,M.F.K,兵庫県,2104,YYY,兵庫県
8th style,xenon,1003,KINO,兵庫県,1635,SUNA,兵庫県,2717,YYY,兵庫県
8th style,World Wide Love,659,MO-FU,兵庫県,1024,MOCHI,兵庫県,1112,AAAAAA,兵庫県
8th style,WAR GAME,848,M-Y!,兵庫県,1500,MOCHI,兵庫県,2109,R.K.,兵庫県
8th style,thunder,1126,SUNA,兵庫県,1559,COS,兵庫県,1876,KS-TAK,兵庫県
8th style,symbolic,1316,TA9,兵庫県,1727,EIRORO,兵庫県,2212,3.,兵庫県
8th style,STAR DREAM,694,M-Y!,兵庫県,1274,PENTA,兵庫県,1398,NUFAN,兵庫県
8th style,rainbow flyer,733,13333,兵庫県,1578,ON.UZO,兵庫県,2096,YYY,兵庫県
8th style,PLEASE DON'T GO,849,M-Y!,兵庫県,1329,MOCHI,兵庫県,2390,3.,兵庫県
8th style,MUSIC TO YOUR HEAD,744,MARIAN,兵庫県,1398,YORIKO,兵庫県,1650,3.,兵庫県
8th style,murmur twins,1001,M-Y!,兵庫県,1614,ON.UZO,兵庫県,2344,398-*,兵庫県
8th style,Monkey Dance,745,M-Y!,兵庫県,1325,NASUNO,兵庫県,1953,YYY,兵庫県
8th style,memories,1040,CROW,兵庫県,2052,KS-TAK,兵庫県,2221,3.,兵庫県
8th style,Luv 2 Feel Your Body,789,X,兵庫県,1014,SPWEEK,兵庫県,1632,KS-TAK,兵庫県
8th style,LOVE IS ORANGE,787,J-SAN,兵庫県,1015,J-SAN,兵庫県,1776,NASUNO,兵庫県
8th style,LAB,964,EAGLE,兵庫県,1879,EIRORO,兵庫県,2111,YYY,兵庫県
