バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,760,WWE,富山県,1017,VIB-R,富山県,1142,SHINPO,富山県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2006,RIOO,富山県
1st&substream,RUGGED ASH,370,EIKRA7,富山県,397,CRZ-R.,富山県,1081,RIOO,富山県
1st&substream,R3,649,EIKRA7,富山県,730,EIKRA7,富山県,889,SHINPO,富山県
1st&substream,PARANOIA MAX～DIRTY MIX～,550,EIKRA7,富山県,733,CRZ-R.,富山県,1117,RIOO,富山県
1st&substream,Macho Gang,381,SHINPO,富山県,1014,OK-ITO,富山県,1545,R.,富山県
1st&substream,KEEP ON MOVIN',196,EIKRA7,富山県,244,RIOO,富山県,0,,未設定
1st&substream,GRADIUSIC CYBER,795,AN-BM-,富山県,939,OYATSU,富山県,1177,K.,富山県
1st&substream,GENOM SCREAMS,415,OYATSU,富山県,796,SS,富山県,1067,RIOO,富山県
1st&substream,GAMBOL,274,EIKRA7,富山県,274,EIKRA7,富山県,0,,未設定
1st&substream,Dr.LOVE,407,EIKRA7,富山県,456,MSAYUK,富山県,573,K.,富山県
1st&substream,deep in you,472,OYATSU,富山県,504,SHINPO,富山県,664,RIOO,富山県
1st&substream,5.1.1.,198,EIKRA7,富山県,995,EIKRA7,富山県,1528,SIR-AI,富山県
1st&substream,22DUNK,523,EIKRA7,富山県,621,OK-ITO,富山県,645,K.,富山県
2nd style,SP-TRIP MACHINE(for beatmania II),506,EIKRA7,富山県,613,OYATSU,富山県,644,BEXTER,富山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),564,EIKRA7,富山県,847,K.,富山県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),858,OYATSU,富山県,1057,OYATSU,富山県,1210,SHINPO,富山県
2nd style,I Was The One,538,EIKRA7,富山県,584,YAMAYA,富山県,688,K.,富山県
2nd style,Electro Tuned(the SubS mix),731,OYATSU,富山県,808,AN-BM-,富山県,1034,BEXTER,富山県
2nd style,Digital MinD(A/T Libra mix),707,FUCHI,富山県,912,!,富山県,1108,UMEKOO,富山県
2nd style,.59,699,EIKRA7,富山県,997,SHINPO,富山県,1103,K.,富山県
3rd style,THE SAFARI,1203,EIKRA7,富山県,1737,SHINPO,富山県,0,,未設定
3rd style,Tangerine Stream,282,EIKRA7,富山県,390,OYATSU,富山県,0,,未設定
3rd style,Skyscraper,725,EIKRA7,富山県,1044,POO,富山県,1218,ZENI,富山県
3rd style,Schlagwerk,801,OYATSU,富山県,1270,VIB-R,富山県,1670,SHINPO,富山県
3rd style,REINCARNATION,835,EIKRA7,富山県,993,OYATSU,富山県,1247,ZENI,富山県
3rd style,R5,774,EIKRA7,富山県,1162,K.,富山県,1771,RIOO,富山県
3rd style,Presto,525,EIKRA7,富山県,981,SHINPO,富山県,997,RIOO,富山県
3rd style,LEADING CYBER,848,EIKRA7,富山県,1146,HABE-G,富山県,1253,ZENI,富山県
3rd style,Holic,745,-NYAO-,富山県,1204,SHINPO,富山県,1717,RIOO,富山県
3rd style,era (nostalmix),817,EIKRA7,富山県,1092,RIOO,富山県,1530,RIOO,富山県
3rd style,Don't Stop!,772,EIKRA7,富山県,850,SHINPO,富山県,903,K.,富山県
3rd style,CAN'T STOP FALLIN'IN LOVE,614,EIKRA7,富山県,1245,RIOO,富山県,0,,未設定
4th style,Voltage (feat. Hidemaru),824,DEATH,富山県,1162,0KIKU3,富山県,1314,RIOO,富山県
4th style,ULTRA HIGH-HEELS,572,KAZ123,富山県,875,OYATSU,富山県,974,MA2NO3,富山県
