バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,646,RIA,福井県,787,RIA,福井県,1088,NA7MI*,福井県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1973,F.,福井県
1st&substream,RUGGED ASH,348,SANCHA,福井県,218,TAKAM,福井県,1058,RANZEF,福井県
1st&substream,R3,625,2HOU,福井県,701,*864*,福井県,882,IWAZO,福井県
1st&substream,PARANOIA MAX～DIRTY MIX～,547,RUBY,福井県,685,HOYO,福井県,1087,RANZEF,福井県
1st&substream,Macho Gang,368,TAIZ,福井県,937,M.RIKK,福井県,1541,RANZEF,福井県
1st&substream,KEEP ON MOVIN',183,*YOU3*,福井県,242,TAIZ,福井県,0,,未設定
1st&substream,GRADIUSIC CYBER,0,,未設定,919,H-ROSE,福井県,1104,M0LFO!,福井県
1st&substream,GENOM SCREAMS,264,OXYGEN,福井県,814,KEN-JI,福井県,1049,RANZEF,福井県
1st&substream,GAMBOL,250,NA7MI*,福井県,271,TAIZ,福井県,0,,未設定
1st&substream,Dr.LOVE,271,SLY,福井県,180,OXYGEN,福井県,569,TAIZ,福井県
1st&substream,deep in you,294,TAKAM,福井県,430,L.D.S,福井県,650,KEN-JI,福井県
1st&substream,5.1.1.,188,DWU,福井県,934,W,福井県,1545,PON-B,福井県
1st&substream,22DUNK,473,*YOU3*,福井県,633,KEN-JI,福井県,643,IWAZO,福井県
2nd style,SP-TRIP MACHINE(for beatmania II),0,,未設定,610,RANZEF,福井県,637,KEN-JI,福井県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,未設定,835,TAIZ,福井県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),666,ALT*,福井県,856,RIA,福井県,1147,NA7MI*,福井県
2nd style,I Was The One,449,OXYGEN,福井県,0,,未設定,673,KEN-JI,福井県
2nd style,Electro Tuned(the SubS mix),320,SLY,福井県,804,SHIINA,福井県,1028,L.D.S,福井県
2nd style,Digital MinD(A/T Libra mix),397,SLY,福井県,598,NARUTI,福井県,1069,RGV,福井県
