バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,627,ZANK39,福井県,895,SOMA.,福井県,1137,ELINA,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,350,RIA,福井県,348,NAMMI,福井県,1031,HAG-A,福井県,1950,E-C-B,福井県
1st&substream,R3,0,,-,434,WATABU,福井県,702,RUBY,福井県,891,SXXX,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,523,OPPA*I,福井県,717,SILK.S,福井県,1084,SXXX,福井県,0,,-
1st&substream,Macho Gang,0,,-,364,IMOYA*,福井県,1017,RUBY,福井県,1514,HAG-A,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,186,SXXX,福井県,238,E-C-B,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,693,ZANK39,福井県,957,RUBY,福井県,1142,RUBY,福井県,0,,-
1st&substream,gentle stress,0,,-,342,H.MAKO,福井県,673,H.MAKO,福井県,1437,225,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,334,ZANK39,福井県,751,SANCHA,福井県,1052,SXXX,福井県,0,,-
1st&substream,GAMBOL,0,,-,262,TUINTR,福井県,267,IZ,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,219,YOU,福井県,492,TUINTR,福井県,561,IZ,福井県,0,,-
1st&substream,deep in you,0,,-,474,RUBY,福井県,415,NAMMI,福井県,648,ELINA,福井県,0,,-
1st&substream,5.1.1.,0,,-,195,RIKI-P,福井県,1004,KINOKO,福井県,1535,DEUU!,福井県,0,,-
1st&substream,22DUNK,0,,-,415,RIA,福井県,641,ELINA,福井県,638,HAG-A,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,365,TUINTR,福井県,595,RUBY,福井県,632,IZ,福井県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,206,YOU,福井県,837,IZ,福井県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,712,ZANK39,福井県,680,ZANK39,福井県,1178,KENJI,福井県,0,,-
2nd style,I Was The One,0,,-,359,NAGGI.,福井県,564,NAMMI,福井県,667,IZ,福井県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,657,ZANK39,福井県,763,NAMMI,福井県,1017,RUBY,福井県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,709,RUBY,福井県,862,NAMMI,福井県,1109,E-C-B,福井県,0,,-
2nd style,.59,0,,-,600,ZANK39,福井県,975,MO84MI,福井県,1127,SXXX,福井県,0,,-
3rd style,THE SAFARI,354,&#9786,福井県,857,DEDEP,福井県,1725,H.MAKO,福井県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,266,X68K,福井県,393,IZ,福井県,0,,-,0,,-
3rd style,Skyscraper,0,,-,705,2HOU,福井県,1170,NO*NO,福井県,1232,KENJI,福井県,0,,-
3rd style,Schlagwerk,0,,-,781,TAZUSA,福井県,1243,R.WELL,福井県,1646,IWAZO,福井県,0,,-
3rd style,REINCARNATION,0,,-,461,KAZUUU,福井県,1005,RUBY,福井県,1264,ELINA,福井県,0,,-
3rd style,R5,0,,-,0,,-,1084,GPU1,福井県,1754,ELINA,福井県,0,,-
3rd style,Presto,0,,-,255,SHIRON,福井県,900,R.WELL,福井県,993,IWAZO,福井県,0,,-
3rd style,LEADING CYBER,0,,-,693,RIA,福井県,1141,RUBY,福井県,1229,SXXX,福井県,0,,-
3rd style,Holic,0,,-,732,TUINTR,福井県,1199,SXXX,福井県,1656,F.,福井県,0,,-
3rd style,era (nostalmix),0,,-,774,RIA,福井県,1023,OPPA*I,福井県,1502,ELINA,福井県,0,,-
3rd style,Don't Stop!,0,,-,672,RIA,福井県,792,KENZAN,福井県,897,H.MAKO,福井県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,427,YASU,福井県,1167,RUBY,福井県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,866,RGV,福井県,1141,RUBY,福井県,1302,ELINA,福井県,0,,-
4th style,SWEET LAB,0,,-,384,SHOKO,福井県,682,I4CHAN,福井県,1309,HAG-A,福井県,0,,-
4th style,starmine,432,2HOU,福井県,775,DEDEP,福井県,1395,HAG-A,福井県,1548,SXXX,福井県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,973,MO84MI,福井県,1729,ELINA,福井県,0,,-
4th style,minimalian,0,,-,260,37,福井県,911,SRI*MA,福井県,1367,KENJI,福井県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,707,LIT,福井県,1435,KENJI,福井県,0,,-
