バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,440,YSERII,福井県,0,,-,1120,SY0.T,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,271,YSERII,福井県,348,NAMMI,福井県,1031,HAG-A,福井県,1950,E-C-B,福井県
1st&substream,R3,0,,-,434,WATABU,福井県,481,BOO!,福井県,879,IWAZO,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,523,OPPA*I,福井県,717,SILK.S,福井県,1084,SY0.T,福井県,0,,-
1st&substream,Macho Gang,0,,-,176,KETY,福井県,0,,-,1514,HAG-A,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,186,SY0.T,福井県,237,IZ,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,479,WATABU,福井県,0,,-,1142,RUBY,福井県,0,,-
1st&substream,gentle stress,0,,-,342,H.MAKO,福井県,673,H.MAKO,福井県,1437,225,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,292,YSERII,福井県,328,DEDEP,福井県,1052,SY0.T,福井県,0,,-
1st&substream,GAMBOL,0,,-,262,TUINTR,福井県,267,IZ,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,219,YOU,福井県,492,TUINTR,福井県,561,IZ,福井県,0,,-
1st&substream,deep in you,0,,-,0,,-,415,NAMMI,福井県,648,ELINA,福井県,0,,-
1st&substream,5.1.1.,0,,-,164,JINTEI,福井県,976,PINO,福井県,1532,KENJI,福井県,0,,-
1st&substream,22DUNK,0,,-,363,RADI,福井県,622,RUBY,福井県,636,IZ,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,365,TUINTR,福井県,323,MOMIJI,福井県,627,IZ,福井県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,837,IZ,福井県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,195,YOU,福井県,680,ZANK,福井県,1177,E-C-B,福井県,0,,-
2nd style,I Was The One,0,,-,359,NAGGI.,福井県,564,NAMMI,福井県,667,IZ,福井県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,527,WATABU,福井県,763,NAMMI,福井県,1017,RUBY,福井県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,862,NAMMI,福井県,1094,IWAZO,福井県,0,,-
2nd style,.59,0,,-,434,KATSU.,福井県,972,SILK.S,福井県,1109,E-C-B,福井県,0,,-
3rd style,THE SAFARI,349,2HOU,福井県,854,X68K,福井県,1725,H.MAKO,福井県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,266,X68K,福井県,393,IZ,福井県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1232,KENJI,福井県,0,,-
3rd style,Schlagwerk,0,,-,738,SRI*MA,福井県,1243,R.WELL,福井県,1626,HAG-A,福井県,0,,-
3rd style,REINCARNATION,0,,-,461,KAZUUU,福井県,922,RETO.,福井県,1200,OPPA*I,福井県,0,,-
3rd style,R5,0,,-,0,,-,1042,NAGON,福井県,1739,H.MAKO,福井県,0,,-
3rd style,Presto,0,,-,255,SHIRON,福井県,900,R.WELL,福井県,993,IWAZO,福井県,0,,-
3rd style,LEADING CYBER,0,,-,693,RIA,福井県,1141,RUBY,福井県,1211,SY0.T,福井県,0,,-
3rd style,Holic,0,,-,732,TUINTR,福井県,1199,SY0.T,福井県,1656,F.,福井県,0,,-
3rd style,era (nostalmix),0,,-,0,,-,1008,OPPA*I,福井県,1395,NK,福井県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,792,KENZAN,福井県,897,H.MAKO,福井県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,386,KATSU.,福井県,1163,RUBY,福井県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,866,RGV,福井県,802,YUN,福井県,1302,ELINA,福井県,0,,-
4th style,SWEET LAB,0,,-,384,SHOKO,福井県,682,I4CHAN,福井県,1253,M.KANO,福井県,0,,-
4th style,starmine,432,2HOU,福井県,733,DEDEP,福井県,1395,HAG-A,福井県,1488,RUBY,福井県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,823,NAMMI,福井県,1669,HAG-A,福井県,0,,-
4th style,minimalian,0,,-,260,37,福井県,744,ZANK,福井県,1367,KENJI,福井県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,707,LIT,福井県,1435,KENJI,福井県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1128,NAMMI,福井県,2224,M.KANO,福井県,0,,-
4th style,Jam&Marmalade,0,,-,671,RIA,福井県,838,HO4M1*,福井県,981,SY0.T,福井県,0,,-
