バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,518,MALONY,山口県,688,AKKIE*,山口県,1052,FU2KE1,山口県,0,,-
1st&substream,RUGGED ASH,0,,-,347,MER9RY,山口県,351,MER9RY,山口県,1059,CPU-Z.,山口県,1972,2356,山口県
1st&substream,R3,0,,-,478,MALONY,山口県,596,PND,山口県,895,&#9191,山口県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,513,MER9RY,山口県,727,K,山口県,1034,K,山口県,0,,-
1st&substream,Macho Gang,0,,-,253,FKUOKA,山口県,705,JUNK-G,山口県,1526,CPU-Z.,山口県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,152,FKUOKA,山口県,230,K,山口県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,744,MER9RY,山口県,911,AADA,山口県,1075,K,山口県,0,,-
1st&substream,gentle stress,0,,-,338,DEGEL,山口県,672,INUPAN,山口県,1419,&#9191,山口県,0,,-
1st&substream,GENOM SCREAMS,0,,-,303,FKUOKA,山口県,442,TENE.,山口県,1041,2356,山口県,0,,-
1st&substream,GAMBOL,0,,-,247,HIDEAK,山口県,272,&#9191,山口県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,273,FKUOKA,山口県,482,396,山口県,542,MEITAN,山口県,0,,-
1st&substream,deep in you,0,,-,432,MER9RY,山口県,435,MER9RY,山口県,602,396,山口県,0,,-
1st&substream,5.1.1.,0,,-,178,AMY,山口県,856,MGST**,山口県,1532,CPU-Z.,山口県,0,,-
1st&substream,22DUNK,0,,-,441,M.UNGA,山口県,545,AZM!,山口県,628,SYOBOY,山口県,0,,-
