バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,719,MER9RY,山口県,973,ATHOME,山口県,1030,MI-OH?,山口県,0,,-
1st&substream,RUGGED ASH,0,,-,361,MER9RY,山口県,0,,-,1080,CPU-Z*,山口県,1985,KANBE,山口県
1st&substream,R3,0,,-,600,MER9RY,山口県,661,MER9RY,山口県,883,MI-OH?,山口県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,540,MER9RY,山口県,696,JUNCHI,山口県,1084,MI-OH?,山口県,0,,-
1st&substream,Macho Gang,0,,-,367,DJ8181,山口県,951,MA*LON,山口県,1553,MI-OH?,山口県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,188,MER9RY,山口県,240,MI-OH?,山口県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,817,MER9RY,山口県,596,AKI,山口県,1151,MI-OH?,山口県,0,,-
1st&substream,gentle stress,0,,-,328,MER9RY,山口県,0,,-,1408,MI-OH?,山口県,0,,-
1st&substream,GENOM SCREAMS,0,,-,381,MER9RY,山口県,661,MER9RY,山口県,996,INAKA.,山口県,0,,-
1st&substream,GAMBOL,0,,-,260,MER9RY,山口県,260,IIDX26,山口県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,391,MER9RY,山口県,328,LOLLIP,山口県,566,MI-OH?,山口県,0,,-
1st&substream,deep in you,0,,-,465,MER9RY,山口県,0,,-,632,MI-OH?,山口県,0,,-
1st&substream,5.1.1.,0,,-,161,MER9RY,山口県,943,796*,山口県,1545,TOUYA,山口県,0,,-
1st&substream,22DUNK,0,,-,475,MER9RY,山口県,562,MER9RY,山口県,631,MI-OH?,山口県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,494,R4P74N,山口県,0,,-,629,L.S.TN,山口県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,530,MER9RY,山口県,839,MI-OH?,山口県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,773,MER9RY,山口県,0,,-,1172,SYOBOY,山口県,0,,-
2nd style,I Was The One,0,,-,498,MER9RY,山口県,282,NA,山口県,677,MI-OH?,山口県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,694,MER9RY,山口県,715,AKTK90,山口県,1039,MI-OH?,山口県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,690,MER9RY,山口県,789,AKTK90,山口県,1072,MI-OH?,山口県,0,,-
2nd style,.59,0,,-,649,MER9RY,山口県,891,NMNM,山口県,1080,MI-OH?,山口県,0,,-
3rd style,THE SAFARI,0,,-,1109,MATA-Z,山口県,1712,CPU-Z*,山口県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,267,MER9RY,山口県,383,L.S.TN,山口県,0,,-,0,,-
3rd style,Skyscraper,0,,-,698,MER9RY,山口県,1147,TOM,山口県,1193,MI-OH?,山口県,0,,-
3rd style,Schlagwerk,0,,-,774,MER9RY,山口県,799,AKI,山口県,1592,MI-OH?,山口県,0,,-
3rd style,REINCARNATION,0,,-,791,MER9RY,山口県,758,AKTK90,山口県,1210,MI-OH?,山口県,0,,-
3rd style,R5,0,,-,730,MER9RY,山口県,1095,TAKU*,山口県,1724,CPU-Z*,山口県,0,,-
3rd style,Presto,0,,-,483,MER9RY,山口県,903,R4P74N,山口県,974,MI-OH?,山口県,0,,-
3rd style,LEADING CYBER,0,,-,769,MER9RY,山口県,980,MER9RY,山口県,1232,MI-OH?,山口県,0,,-
3rd style,Holic,0,,-,708,MER9RY,山口県,844,AKI,山口県,1663,TOUYA,山口県,0,,-
3rd style,era (nostalmix),0,,-,810,MER9RY,山口県,1053,SYOBOY,山口県,1423,283,山口県,0,,-
3rd style,Don't Stop!,0,,-,743,MER9RY,山口県,0,,-,886,MI-OH?,山口県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,586,MER9RY,山口県,1195,MI-OH?,山口県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,862,MER9RY,山口県,1058,RA-MEN,山口県,1302,KANBE,山口県,0,,-
4th style,SWEET LAB,0,,-,518,MER9RY,山口県,581,AKI,山口県,1250,DJ8181,山口県,0,,-
4th style,starmine,354,HN1178,山口県,857,MER9RY,山口県,1226,M.UNGA,山口県,1536,MI-OH?,山口県,0,,-
4th style,Mr.T.(take me higher),0,,-,756,MER9RY,山口県,800,AKTK90,山口県,1680,R4P74N,山口県,0,,-
4th style,minimalian,0,,-,501,MER9RY,山口県,899,LSRD3C,山口県,1349,CPU-Z*,山口県,0,,-
4th style,LOVE WILL・・・,0,,-,525,JUNCHI,山口県,711,JUNCHI,山口県,1445,CPU-Z*,山口県,0,,-
4th style,KAMIKAZE,0,,-,957,MER9RY,山口県,1320,HI*RO*,山口県,2196,CPU-Z*,山口県,0,,-
4th style,Jam&Marmalade,0,,-,697,MER9RY,山口県,564,AKI,山口県,971,MI-OH?,山口県,0,,-
4th style,Hitch Hiker2,0,,-,784,MER9RY,山口県,1064,MER9RY,山口県,1170,MA*LON,山口県,1854,CPU-Z*,山口県
4th style,HIGHER,0,,-,504,MER9RY,山口県,0,,-,1245,R4P74N,山口県,0,,-
4th style,FLOWERS for ALBION,0,,-,219,SOPHIE,山口県,426,MI-OH?,山口県,0,,-,0,,-
4th style,era (step mix),0,,-,1033,MER9RY,山口県,1038,MA*LON,山口県,1649,CPU-Z*,山口県,0,,-
4th style,empathy,0,,-,801,MER9RY,山口県,1277,AADA,山口県,1376,UNGAAA,山口県,0,,-
4th style,DXY!,0,,-,1104,MER9RY,山口県,1505,HI*RO*,山口県,2194,TOUYA,山口県,0,,-
4th style,Clione,0,,-,502,MER9RY,山口県,880,NMNM,山口県,1589,TOUYA,山口県,2080,IN0R1,山口県
4th style,CHECKING YOU OUT,0,,-,519,MATA-Z,山口県,694,ERICK,山口県,1277,TOUYA,山口県,0,,-
4th style,Burnin' The Floor,0,,-,551,MER9RY,山口県,919,TOM,山口県,1429,CPU-Z*,山口県,0,,-
4th style,Broken My Heart,0,,-,873,MER9RY,山口県,987,AKI,山口県,1766,CPU-Z*,山口県,0,,-
4th style,B4U,0,,-,922,MER9RY,山口県,1507,DJ8181,山口県,1947,CPU-Z*,山口県,0,,-
4th style,ABSOLUTE,0,,-,1220,MER9RY,山口県,1551,D-N43,山口県,2294,FU2KE1,山口県,2574,SYOBOY,山口県
4th style,250bpm,0,,-,635,MER9RY,山口県,852,HIDEAK,山口県,1293,WAN-C,山口県,0,,-
5th style,V,246,MYSS,山口県,1101,MER9RY,山口県,2466,CPU-Z*,山口県,2882,DJ8181,山口県,0,,-
5th style,THE SHINING POLARIS,0,,-,865,MER9RY,山口県,923,AKI,山口県,1522,SYOBOY,山口県,0,,-
5th style,THE CUBE,0,,-,693,MER9RY,山口県,976,GANSS.,山口県,1238,MI-OH?,山口県,0,,-
5th style,sync,0,,-,992,MER9RY,山口県,1292,CHOKTO,山口県,2348,CPU-Z*,山口県,0,,-
5th style,still my words,0,,-,856,MER9RY,山口県,1206,MI-OH?,山口県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,967,MER9RY,山口県,808,AKI,山口県,1761,L.S.TN,山口県,0,,-
5th style,Spin the disc,0,,-,742,MER9RY,山口県,1141,38KEN,山口県,1276,DJ8181,山口県,0,,-
5th style,sometime,0,,-,718,MER9RY,山口県,1001,MATA-Z,山口県,1238,DJ8181,山口県,0,,-
5th style,RISLIM,0,,-,856,MER9RY,山口県,1205,TOUYA,山口県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,839,MATA-Z,山口県,985,MER9RY,山口県,1655,DJ8181,山口県,1737,MI-OH?,山口県
5th style,Regulus,0,,-,877,MER9RY,山口県,1204,LSRD3C,山口県,1582,R4P74N,山口県,0,,-
5th style,Real,0,,-,949,MER9RY,山口県,1023,AKI,山口県,1687,LEVEL2,山口県,0,,-
5th style,Radical Faith,0,,-,1134,MER9RY,山口県,1074,AKI,山口県,1264,MI-OH?,山口県,0,,-
5th style,QQQ,0,,-,1113,MER9RY,山口県,1799,R4P74N,山口県,2082,KEISO,山口県,0,,-
5th style,outer wall,0,,-,838,MER9RY,山口県,917,AKI,山口県,1698,MI-OH?,山口県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,727,MER9RY,山口県,924,MER9RY,山口県,1107,TOUYA,山口県,0,,-
5th style,in my eyes,0,,-,919,MER9RY,山口県,974,AKI,山口県,1474,MI-OH?,山口県,0,,-
5th style,Abyss,0,,-,1170,MER9RY,山口県,1555,R4P74N,山口県,1845,TOUYA,山口県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,996,MER9RY,山口県,1515,SONICO,山口県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,765,MER9RY,山口県,891,AKI,山口県,1337,CPU-Z*,山口県,0,,-
6th style,VJ ARMY,0,,-,1141,MER9RY,山口県,1410,D-N43,山口県,2094,DJ8181,山口県,0,,-
6th style,Take It Easy,0,,-,1383,MATA-Z,山口県,2265,MATA-Z,山口県,2447,FU2KE1,山口県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1082,MER9RY,山口県,1699,MI-OH?,山口県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,842,MER9RY,山口県,994,AKTK90,山口県,1911,DJ8181,山口県,0,,-
6th style,route 80s,0,,-,820,MER9RY,山口県,1022,M.UNGA,山口県,1437,DJ8181,山口県,0,,-
6th style,rottel-da-sun,0,,-,774,MER9RY,山口県,1267,AADA,山口県,1744,AAAAAA,山口県,0,,-
6th style,NEMESIS,0,,-,852,MER9RY,山口県,1135,HI*RO*,山口県,1787,TOUYA,山口県,0,,-
6th style,Linus,0,,-,906,MER9RY,山口県,1221,LSRD3C,山口県,2161,KANBE,山口県,0,,-
6th style,G2,0,,-,1192,MATA-Z,山口県,1475,JUNCHI,山口県,2216,CPU-Z*,山口県,0,,-
6th style,Frozen Ray (original mix),0,,-,1167,MER9RY,山口県,1701,WAN-C,山口県,1759,CPU-Z*,山口県,0,,-
6th style,Free Style,0,,-,807,MER9RY,山口県,705,AKI,山口県,1221,MI-OH?,山口県,0,,-
6th style,fly through the night,0,,-,829,MER9RY,山口県,815,DYMIND,山口県,1639,CPU-Z*,山口県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1159,MER9RY,山口県,1099,AKI,山口県,1986,CPU-Z*,山口県,0,,-
6th style,Colors (radio edit),0,,-,1236,MER9RY,山口県,1815,SONICO,山口県,2345,DJ8181,山口県,0,,-
6th style,Buffalo,0,,-,921,MER9RY,山口県,1065,AKI,山口県,1658,WAN-C,山口県,2349,DJ8181,山口県
6th style,Blueberry Stream,0,,-,762,MER9RY,山口県,1005,MUMA!,山口県,1560,MI-OH?,山口県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,567,MER9RY,山口県,568,R-MASA,山口県,1054,SYOBOY,山口県,0,,-
6th style,"19,November",0,,-,1020,MER9RY,山口県,1281,MER9RY,山口県,1781,TOUYA,山口県,0,,-
7th style,革命,0,,-,677,MER9RY,山口県,1787,MATA-Z,山口県,2147,R4P74N,山口県,0,,-
7th style,ZERO-ONE,0,,-,872,MER9RY,山口県,1311,RED,山口県,2173,CPU-Z*,山口県,0,,-
7th style,traces,0,,-,1319,FAL,山口県,1641,ROIKUN,山口県,1965,MATA-Z,山口県,0,,-
7th style,Tomorrow Perfume,0,,-,1050,MER9RY,山口県,1780,AADA,山口県,2055,CPU-Z*,山口県,0,,-
7th style,stoic,0,,-,1476,MATA-Z,山口県,2241,MATA-Z,山口県,2487,TOUYA,山口県,0,,-
7th style,Spica,0,,-,603,MER9RY,山口県,1308,JJFISH,山口県,2180,TOUYA,山口県,0,,-
7th style,Love Me Do,0,,-,1076,MER9RY,山口県,1632,796*,山口県,2100,CPU-Z*,山口県,0,,-
7th style,Let the Snow Paint Me,0,,-,717,MER9RY,山口県,955,HI*RO*,山口県,1233,CPU-Z*,山口県,0,,-
7th style,Last Message,0,,-,939,SOPHIE,山口県,1096,D-N43,山口県,1503,L.S.TN,山口県,0,,-
7th style,Happy Wedding,0,,-,1082,MER9RY,山口県,1102,AKI,山口県,1762,SYOBOY,山口県,0,,-
7th style,Glorious Days,0,,-,472,TAKU*,山口県,747,JUNCHI,山口県,884,CPU-Z*,山口県,0,,-
7th style,foreplay,0,,-,608,MER9RY,山口県,889,TIGER,山口県,1244,MI-OH?,山口県,0,,-
7th style,DESTINY,0,,-,975,MER9RY,山口県,920,AKI,山口県,1824,CPU-Z*,山口県,0,,-
7th style,D2R,0,,-,821,FAL,山口県,824,AKI,山口県,1588,TOUYA,山口県,0,,-
7th style,Cheer Train,0,,-,846,MER9RY,山口県,973,KA7KO#,山口県,1692,TOUYA,山口県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,647,MER9RY,山口県,877,NMNM,山口県,1384,MI-OH?,山口県,0,,-
7th style,Bad Routine,0,,-,933,MER9RY,山口県,1205,MER9RY,山口県,1881,CPU-Z*,山口県,0,,-
