バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,706,DAYAN,奈良県,1039,SIGEYA,奈良県,1157,46,奈良県,0,,-
1st&substream,RUGGED ASH,0,,-,355,DAYAN,奈良県,402,*TASUQ,奈良県,1058,K-TA.N,奈良県,2054,46,奈良県
1st&substream,R3,0,,-,612,ALT.I,奈良県,709,NCS.,奈良県,897,46,奈良県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,EVO69,奈良県,740,7-11,奈良県,1090,EVO69,奈良県,0,,-
1st&substream,Macho Gang,0,,-,367,YIMA,奈良県,1016,SSTILE,奈良県,1635,46,奈良県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,ARACCH,奈良県,241,2KU4MI,奈良県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,714,NARA,奈良県,826,7HO3,奈良県,1172,SIGEYA,奈良県,0,,-
1st&substream,gentle stress,0,,-,325,YIMA,奈良県,670,SIGEYA,奈良県,1426,K-TA.N,奈良県,0,,-
1st&substream,GENOM SCREAMS,0,,-,391,DAYAN,奈良県,772,NCS.,奈良県,1057,SIGEYA,奈良県,0,,-
1st&substream,GAMBOL,0,,-,260,IZAQ,奈良県,274,2KU4MI,奈良県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,392,YIMA,奈良県,519,BIGBOY,奈良県,572,*TASUQ,奈良県,0,,-
1st&substream,deep in you,0,,-,446,ALT.I,奈良県,487,7HO3,奈良県,653,SIGEYA,奈良県,0,,-
1st&substream,5.1.1.,0,,-,190,ARACCH,奈良県,931,FILM44,奈良県,1545,SIGEYA,奈良県,0,,-
1st&substream,22DUNK,0,,-,446,DAYAN,奈良県,605,NCS.,奈良県,643,EVO69,奈良県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,226,MIYUKI,奈良県,588,HAASA*,奈良県,641,CHIP,奈良県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,517,TAKORO,奈良県,860,46,奈良県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,789,ALT.I,奈良県,879,7HO3,奈良県,1206,ATRIX,奈良県,0,,-
2nd style,I Was The One,0,,-,452,KEI,奈良県,595,HAL,奈良県,684,BIGBOY,奈良県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,938,7-11,奈良県,1055,*TASUQ,奈良県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,939,B-TAI,奈良県,1088,BIGBOY,奈良県,0,,-
2nd style,.59,0,,-,674,TZ-TSU,奈良県,974,ARACCH,奈良県,1053,TYS-L,奈良県,0,,-
3rd style,THE SAFARI,360,LIME-C,奈良県,1020,2,奈良県,1782,46,奈良県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,YIMA,奈良県,385,7-11,奈良県,0,,-,0,,-
3rd style,Skyscraper,0,,-,685,ALT.I,奈良県,1185,*TASUQ,奈良県,1230,EVO69,奈良県,0,,-
3rd style,Schlagwerk,0,,-,512,HIBIKI,奈良県,1241,FKMZ,奈良県,1687,46,奈良県,0,,-
3rd style,REINCARNATION,0,,-,792,ALT.I,奈良県,968,LAPIS,奈良県,1262,EVO69,奈良県,0,,-
3rd style,R5,0,,-,609,JZXSTY,奈良県,1142,TYS-R,奈良県,1750,ATRIX,奈良県,0,,-
3rd style,Presto,0,,-,503,TZ-TSU,奈良県,938,TAMAZO,奈良県,985,EVO69,奈良県,0,,-
3rd style,LEADING CYBER,0,,-,773,DAYAN,奈良県,1098,B-TAI,奈良県,1241,EVO69,奈良県,0,,-
3rd style,Holic,0,,-,669,DAYAN,奈良県,1184,7-11,奈良県,1696,DVD,奈良県,0,,-
