バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,1028,31A.KA,熊本県,1139,OZ-1,熊本県,0,,-
1st&substream,RUGGED ASH,0,,-,370,*BOMI*,熊本県,402,*BOMI*,熊本県,1010,333*,熊本県,1957,STRNGI,熊本県
1st&substream,R3,0,,-,521,OLIMAR,熊本県,675,C-CAT,熊本県,894,SOUBAY,熊本県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,453,OLIMAR,熊本県,670,GATA,熊本県,1096,SOUBAY,熊本県,0,,-
1st&substream,Macho Gang,0,,-,368,C-CAT,熊本県,965,SIREN,熊本県,1478,YAKTHE,熊本県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*BOMI*,熊本県,244,*BOMI*,熊本県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,676,DECIDE,熊本県,911,SUKIYA,熊本県,1187,STRNGI,熊本県,0,,-
1st&substream,gentle stress,0,,-,318,DECIDE,熊本県,531,A,熊本県,1443,STRNGI,熊本県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,*BOMI*,熊本県,817,OZ-1,熊本県,1058,OZ-1,熊本県,0,,-
1st&substream,GAMBOL,0,,-,274,*BOMI*,熊本県,269,.EXE,熊本県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,*BOMI*,熊本県,522,*BOMI*,熊本県,579,*BOMI*,熊本県,0,,-
1st&substream,deep in you,0,,-,433,OLIMAR,熊本県,458,3000IN,熊本県,659,P.K.R.,熊本県,0,,-
1st&substream,5.1.1.,0,,-,198,*BOMI*,熊本県,920,LUW,熊本県,1549,STRNGI,熊本県,0,,-
1st&substream,22DUNK,0,,-,441,DECIDE,熊本県,502,OUSUKI,熊本県,640,D.Z.I.,熊本県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,*BOMI*,熊本県,534,A,熊本県,634,MOLCAR,熊本県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,527,DECIDE,熊本県,859,SOUBAY,熊本県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,773,STREAM,熊本県,915,XAI,熊本県,1214,STRNGI,熊本県,0,,-
2nd style,I Was The One,0,,-,472,DECIDE,熊本県,550,A,熊本県,680,OZ-1,熊本県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,673,K.K,熊本県,720,A,熊本県,1056,D.Z.I.,熊本県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,643,DECIDE,熊本県,855,A,熊本県,1120,SOUBAY,熊本県,0,,-
2nd style,.59,0,,-,563,OLIMAR,熊本県,1010,*BOMI*,熊本県,1152,STRNGI,熊本県,0,,-
3rd style,THE SAFARI,329,RIVA,熊本県,1066,AMAKO,熊本県,1741,PET4KI,熊本県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,*BOMI*,熊本県,396,*BOMI*,熊本県,0,,-,0,,-
3rd style,Skyscraper,0,,-,585,DECIDE,熊本県,1031,KAKAZU,熊本県,1237,D.Z.I.,熊本県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,991,K.Y,熊本県,1671,D.Z.I.,熊本県,0,,-
3rd style,REINCARNATION,0,,-,710,DECIDE,熊本県,918,LUW,熊本県,1204,333*,熊本県,0,,-
3rd style,R5,0,,-,275,STREAM,熊本県,1147,8,熊本県,1761,STRNGI,熊本県,0,,-
3rd style,Presto,0,,-,537,*BOMI*,熊本県,879,C-CAT,熊本県,1008,OZ-1,熊本県,0,,-
3rd style,LEADING CYBER,0,,-,747,DECIDE,熊本県,932,INORI,熊本県,1197,.EXE,熊本県,0,,-
3rd style,Holic,0,,-,560,YOUKEY,熊本県,1011,D-S,熊本県,1736,STRNGI,熊本県,0,,-
3rd style,era (nostalmix),0,,-,722,DECIDE,熊本県,1102,STRNGI,熊本県,1485,SOUBAY,熊本県,0,,-
3rd style,Don't Stop!,0,,-,712,DECIDE,熊本県,673,K.Y,熊本県,906,D.Z.I.,熊本県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,617,*BOMI*,熊本県,1238,OZ-1,熊本県,0,,-,0,,-
