バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,710,KOA495,兵庫県,982,KOH*ZD,兵庫県,1150,3.,兵庫県,0,,-
1st&substream,RUGGED ASH,0,,-,283,38B.JP,兵庫県,397,K4LC.,兵庫県,1061,Y#KIRI,兵庫県,2021,V3024,兵庫県
1st&substream,R3,0,,-,580,KOA495,兵庫県,703,ETER2A,兵庫県,888,P.CORE,兵庫県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,518,5738ED,兵庫県,715,BASIL,兵庫県,1102,S,兵庫県,0,,-
1st&substream,Macho Gang,0,,-,375,BONVAX,兵庫県,839,125V,兵庫県,1633,3.,兵庫県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,KOTO,兵庫県,244,UN&C0.,兵庫県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,803,V.B.,兵庫県,906,KOH*ZD,兵庫県,1168,4MA82*,兵庫県,0,,-
1st&substream,gentle stress,0,,-,296,S.JUNK,兵庫県,649,K4LC.,兵庫県,1439,M.O.Y.,兵庫県,0,,-
1st&substream,GENOM SCREAMS,0,,-,385,EH200,兵庫県,734,KOH*ZD,兵庫県,1062,3.,兵庫県,0,,-
1st&substream,GAMBOL,0,,-,265,NOBARA,兵庫県,274,BYG-C,兵庫県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,273,!MO,兵庫県,504,AFRO,兵庫県,574,UN&C0.,兵庫県,0,,-
1st&substream,deep in you,0,,-,471,NYAMO#,兵庫県,444,SA.31,兵庫県,657,UN&C0.,兵庫県,0,,-
1st&substream,5.1.1.,0,,-,198,BONVAX,兵庫県,1018,S,兵庫県,1566,UN&C0.,兵庫県,0,,-
1st&substream,22DUNK,0,,-,479,KOA495,兵庫県,595,YUNBOO,兵庫県,650,UN&C0.,兵庫県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,482,KOH*ZD,兵庫県,581,SA.31,兵庫県,641,4MA82*,兵庫県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,551,REFLIE,兵庫県,855,MODELN,兵庫県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,800,KOA495,兵庫県,1072,K4LC.,兵庫県,1217,V3024,兵庫県,0,,-
2nd style,I Was The One,0,,-,471,U,兵庫県,563,HADES,兵庫県,682,4MA82*,兵庫県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,438,YUSUN,兵庫県,928,K4LC.,兵庫県,1043,M.O.Y.,兵庫県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,471,MIREM,兵庫県,1016,A,兵庫県,1130,BONO*2,兵庫県,0,,-
2nd style,.59,0,,-,668,V.B.,兵庫県,904,125V,兵庫県,1127,TASO2,兵庫県,0,,-
3rd style,THE SAFARI,351,KOH*ZD,兵庫県,974,CIEL,兵庫県,1748,3.,兵庫県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,270,KOH*ZD,兵庫県,389,KOTO,兵庫県,0,,-,0,,-
3rd style,Skyscraper,0,,-,646,SA.31,兵庫県,1016,V.B.,兵庫県,1223,RION-G,兵庫県,0,,-
3rd style,Schlagwerk,0,,-,437,YUSUN,兵庫県,1280,A,兵庫県,1670,Y#KIRI,兵庫県,0,,-
3rd style,REINCARNATION,0,,-,791,EH200,兵庫県,941,KAN3KI,兵庫県,1261,3.,兵庫県,0,,-
3rd style,R5,0,,-,688,5738ED,兵庫県,1139,KOH*ZD,兵庫県,1755,TIKI*,兵庫県,0,,-
3rd style,Presto,0,,-,301,PAVELS,兵庫県,925,KOH*ZD,兵庫県,994,SENSE0,兵庫県,0,,-
3rd style,LEADING CYBER,0,,-,468,!,兵庫県,1137,NOBARA,兵庫県,1223,4MA82*,兵庫県,0,,-
